2016.03.20 23.57.27 1 INFO: S E R V E R   S T A R T E D
2016.03.20 23.59.03 30 INFO:  --> File to be uploaded = CA-wp1.jpg
2016.03.20 23.59.03 30 INFO:  --> File zu
2016.03.20 23.59.03 30 INFO:  --> Req behandelt
2016.03.20 23.59.03 30 INFO:  --> Res gesendet
2016.03.20 23.59.03 30 INFO:  --> End Connection:/127.0.0.1:49726
2016.03.20 23.59.03 31 INFO:  --> New Connection:/127.0.0.1:49727
2016.03.20 23.59.03 31 INFO:  --> File to be uploaded = CA-wp2.jpg
2016.03.20 23.59.03 31 INFO:  --> File zu
2016.03.20 23.59.03 31 INFO:  --> Req behandelt
2016.03.20 23.59.03 31 INFO:  --> Res gesendet
2016.03.20 23.59.03 31 INFO:  --> End Connection:/127.0.0.1:49727
2016.03.20 23.59.03 32 INFO:  --> New Connection:/127.0.0.1:49728
2016.03.20 23.59.03 32 INFO:  --> File to be uploaded = CA-wp20.jpg
2016.03.20 23.59.03 32 INFO:  --> File zu
2016.03.20 23.59.03 32 INFO:  --> Req behandelt
2016.03.20 23.59.03 32 INFO:  --> Res gesendet
2016.03.20 23.59.03 32 INFO:  --> End Connection:/127.0.0.1:49728
2016.03.20 23.59.03 33 INFO:  --> New Connection:/127.0.0.1:49729
2016.03.20 23.59.03 33 INFO:  --> File to be uploaded = old form 1.htm
2016.03.20 23.59.03 33 INFO:  --> File zu
2016.03.20 23.59.03 33 INFO:  --> Req behandelt
2016.03.20 23.59.03 33 INFO:  --> Res gesendet
2016.03.20 23.59.03 33 INFO:  --> End Connection:/127.0.0.1:49729
2016.03.20 23.59.03 34 INFO:  --> New Connection:/127.0.0.1:49730
2016.03.20 23.59.03 34 INFO:  --> File to be uploaded = old simpleFileReceptor.htm
2016.03.20 23.59.03 34 INFO:  --> File zu
2016.03.20 23.59.03 34 INFO:  --> Req behandelt
2016.03.20 23.59.03 34 INFO:  --> Res gesendet
2016.03.20 23.59.03 34 INFO:  --> End Connection:/127.0.0.1:49730
2016.03.20 23.59.03 35 INFO:  --> New Connection:/127.0.0.1:49731
2016.03.20 23.59.03 35 INFO:  --> File to be uploaded = simpleFileReceptor dropzone org.htm
2016.03.20 23.59.03 35 INFO:  --> File zu
2016.03.20 23.59.03 35 INFO:  --> Req behandelt
2016.03.20 23.59.03 35 INFO:  --> Res gesendet
2016.03.20 23.59.03 35 INFO:  --> End Connection:/127.0.0.1:49731
2016.03.20 23.59.03 36 INFO:  --> New Connection:/127.0.0.1:49732
2016.03.20 23.59.03 36 INFO:  --> File to be uploaded = simpleFileReceptor selfhtml.htm
2016.03.20 23.59.03 36 INFO:  --> File zu
2016.03.20 23.59.03 36 INFO:  --> Req behandelt
2016.03.20 23.59.03 36 INFO:  --> Res gesendet
2016.03.20 23.59.03 36 INFO:  --> End Connection:/127.0.0.1:49732
2016.03.20 23.59.03 37 INFO:  --> New Connection:/127.0.0.1:49733
2016.03.20 23.59.03 37 INFO:  --> File to be uploaded = simpleFileReceptor stack.htm
2016.03.20 23.59.03 37 INFO:  --> File zu
2016.03.20 23.59.03 37 INFO:  --> Req behandelt
2016.03.20 23.59.03 37 INFO:  --> Res gesendet
2016.03.20 23.59.03 37 INFO:  --> End Connection:/127.0.0.1:49733
2016.03.20 23.59.03 38 INFO:  --> New Connection:/127.0.0.1:49734
2016.03.20 23.59.03 38 INFO:  --> File to be uploaded = a.jpg
2016.03.20 23.59.03 38 INFO:  --> File zu
2016.03.20 23.59.03 38 INFO:  --> Req behandelt
2016.03.20 23.59.03 38 INFO:  --> Res gesendet
2016.03.20 23.59.03 38 INFO:  --> End Connection:/127.0.0.1:49734
2016.03.20 23.59.03 39 INFO:  --> New Connection:/127.0.0.1:49735
2016.03.20 23.59.03 39 INFO:  --> File to be uploaded = a.tif
2016.03.20 23.59.04 39 INFO:  --> File zu
2016.03.20 23.59.04 39 INFO:  --> Req behandelt
2016.03.20 23.59.04 39 INFO:  --> Res gesendet
2016.03.20 23.59.04 39 INFO:  --> End Connection:/127.0.0.1:49735
2016.03.20 23.59.04 40 INFO:  --> New Connection:/127.0.0.1:49736
2016.03.20 23.59.04 40 INFO:  --> File to be uploaded = a0.tif
2016.03.20 23.59.05 40 INFO:  --> File zu
2016.03.20 23.59.05 40 INFO:  --> Req behandelt
2016.03.20 23.59.05 40 INFO:  --> Res gesendet
2016.03.20 23.59.05 40 INFO:  --> End Connection:/127.0.0.1:49736
2016.03.20 23.59.32 41 INFO:  --> New Connection:/127.0.0.1:49740
2016.03.20 23.59.32 41 INFO:  --> File to be uploaded = a.jpg
2016.03.20 23.59.32 41 INFO:  --> File zu
2016.03.20 23.59.32 41 INFO:  --> Req behandelt
2016.03.20 23.59.32 41 INFO:  --> Res gesendet
2016.03.20 23.59.32 41 INFO:  --> End Connection:/127.0.0.1:49740
2016.03.20 23.59.32 42 INFO:  --> New Connection:/127.0.0.1:49741
2016.03.20 23.59.32 42 INFO:  --> File to be uploaded = a.tif
2016.03.20 23.59.33 42 INFO:  --> File zu
2016.03.20 23.59.33 42 INFO:  --> Req behandelt
2016.03.20 23.59.33 42 INFO:  --> Res gesendet
2016.03.20 23.59.33 42 INFO:  --> End Connection:/127.0.0.1:49741
2016.03.20 23.59.47 43 INFO:  --> New Connection:/127.0.0.1:49745
2016.03.20 23.59.47 43 INFO:  --> File to be uploaded = a.tif
2016.03.20 23.59.48 43 INFO:  --> File zu
2016.03.20 23.59.48 43 INFO:  --> Req behandelt
2016.03.20 23.59.48 43 INFO:  --> Res gesendet
2016.03.20 23.59.48 43 INFO:  --> End Connection:/127.0.0.1:49745
2016.03.20 23.59.48 44 INFO:  --> New Connection:/127.0.0.1:49746
2016.03.20 23.59.48 44 INFO:  --> File to be uploaded = a.jpg
2016.03.20 23.59.48 44 INFO:  --> File zu
2016.03.20 23.59.48 44 INFO:  --> Req behandelt
2016.03.20 23.59.48 44 INFO:  --> Res gesendet
2016.03.20 23.59.48 44 INFO:  --> End Connection:/127.0.0.1:49746
2016.03.21 00.00.12 45 INFO:  --> New Connection:/127.0.0.1:49750
2016.03.21 00.00.12 45 INFO:  --> File to be uploaded = a.tif
2016.03.21 00.00.12 45 INFO:  --> File zu
2016.03.21 00.00.12 45 INFO:  --> Req behandelt
2016.03.21 00.00.12 45 INFO:  --> Res gesendet
2016.03.21 00.00.12 45 INFO:  --> End Connection:/127.0.0.1:49750
2016.03.21 00.00.12 46 INFO:  --> New Connection:/127.0.0.1:49751
2016.03.21 00.00.12 46 INFO:  --> File to be uploaded = a.jpg
2016.03.21 00.00.13 46 INFO:  --> File zu
2016.03.21 00.00.13 46 INFO:  --> Req behandelt
2016.03.21 00.00.13 46 INFO:  --> Res gesendet
2016.03.21 00.00.13 46 INFO:  --> End Connection:/127.0.0.1:49751
2016.03.21 00.00.22 47 INFO:  --> New Connection:/127.0.0.1:49754
2016.03.21 00.00.22 47 INFO:  --> File to be uploaded = a.jpg
2016.03.21 00.00.22 47 INFO:  --> File zu
2016.03.21 00.00.22 47 INFO:  --> Req behandelt
2016.03.21 00.00.22 47 INFO:  --> Res gesendet
2016.03.21 00.00.22 47 INFO:  --> End Connection:/127.0.0.1:49754
2016.03.21 00.00.22 48 INFO:  --> New Connection:/127.0.0.1:49755
2016.03.21 00.00.22 48 INFO:  --> File to be uploaded = a.tif
2016.03.21 00.00.23 48 INFO:  --> File zu
2016.03.21 00.00.23 48 INFO:  --> Req behandelt
2016.03.21 00.00.23 48 INFO:  --> Res gesendet
2016.03.21 00.00.23 48 INFO:  --> End Connection:/127.0.0.1:49755
